"","Age","Fert"
"1",0,0
"2",1,0
"3",2,0
"4",3,0
"5",4,0
"6",5,0
"7",6,0
"8",7,0
"9",8,0
"10",9,0
"11",10,0
"12",11,0
"13",12,0
"14",13,2e-05
"15",14,0.000355
"16",15,0.00174
"17",16,0.00785
"18",17,0.020575
"19",18,0.03139
"20",19,0.04164
"21",20,0.05047
"22",21,0.058055
"23",22,0.063375
"24",23,0.06731
"25",24,0.07121
"26",25,0.072125
"27",26,0.072025
"28",27,0.06762
"29",28,0.058105
"30",29,0.050825
"31",30,0.04391
"32",31,0.03506
"33",32,0.02892
"34",33,0.023275
"35",34,0.019975
"36",35,0.01619
"37",36,0.01297
"38",37,0.010945
"39",38,0.008835
"40",39,0.006895
"41",40,0.00544
"42",41,0.003735
"43",42,0.002655
"44",43,0.001665
"45",44,0.000955
"46",45,0.000475
"47",46,0.000255
"48",47,0.000135
"49",48,4.5e-05
"50",49,3e-05
"51",50,1.5e-05
"52",51,1e-05
"53",52,5e-06
"54",53,5e-06
"55",54,0
"56",55,0
"57",56,0
"58",57,0
"59",58,0
"60",59,0
"61",60,0
"62",61,0
"63",62,0
"64",63,0
"65",64,0
"66",65,0
"67",66,0
"68",67,0
"69",68,0
"70",69,0
"71",70,0
"72",71,0
"73",72,0
"74",73,0
"75",74,0
"76",75,0
"77",76,0
"78",77,0
"79",78,0
"80",79,0
"81",80,0
"82",81,0
"83",82,0
"84",83,0
"85",84,0
"86",85,0
"87",86,0
"88",87,0
"89",88,0
"90",89,0
"91",90,0
"92",91,0
"93",92,0
"94",93,0
"95",94,0
"96",95,0
"97",96,0
"98",97,0
"99",98,0
"100",99,0
"101",100,0
